label,left_name,left_description,left_price,right_name,right_description,right_price,id
0,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,lg ldf6920bb fully integrated dishwasher,,,730_775
0,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk,lg 24 ' lds4821bb semi integrated built in black dishwasher lds4821bk xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel black finish,,lg ldf6920bb fully integrated dishwasher,,,731_775
1,Cg 24 ' ldf6920bb fully interated built in black dishwasher ldf6920bk,lg 24 ' ldf6920bb fully integrated built in black dishwasher ldf6920bk xl tall tub clans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms umlti-level water direction slim direct drive motor fully integrated electronic control panel black finish,,lg ldf6920bb fully integrated dishwasher,,,735_775
0,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh,lg 24 ' ldf6920ww fully integrated built in white dishwasher ldf6920wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel white finish,,lg ldf6920bb fully integrated dishwasher,,,732_775
0,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss,lg 24 ' ldf6920st fully integrated built in stainless steel dishwasher ldf6920ss xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 5 wash cycles with 3 spray arms multi-level water direction slim direct drive motor fully integrated electronic control panel stainless steel finish,,lg ldf6920bb fully integrated dishwasher,,,734_775
0,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,730_845
0,whirlpool 24 ' built-in dishwasher du1100ss,whirlpool 24 ' built-in dishwasher du1100ss 14-five piece place setting super capacity tub 5 level wash temperature and pressure sensors 4 automatic cycles soak and scour option anyware plus silverware basket hard food disposer with self-cleaning filter quiet partner ii sound package energy star qualified black-on-stainless finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,45_845
0,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrey interior idry intelligent saharadry system silentdesign sound insulation package 12 easy clean electronic touchpads digital display 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,220_845
0,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,355_845
0,ge gsd4000nww white built-in dishwasher gsd4000wh,ge gsd4000nww white built-in dishwasher gsd4000wh 5-level powerscrub wash system with powershower electronic controls 100 percent water filtration with extrafine filter 2/4/8-hour delay start china/crystal cycle white finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,39_845
0,whirlpool 24 ' built-in dishwasher du1055ss,whirlpool 24 ' built-in dishwasher du1055ss 14-five piece place setting super capacity tub 5 level direct feed sheerclean wash system 4 cycles soak and scour option anyware plus silverware basket quiet partner i sound package energy star qualified black on stainless finish,491.0,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,74_845
0,frigidaire gld4355rfs gallery speedclean 24 ' white dishwasher gld4355wh,frigidaire gld4355rfs gallery speedclean 24 ' white dishwasher gld4355wh 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package white finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,356_845
0,frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss,frigidaire 24 ' pld4375rfc built-in stainless steel dishwasher pld4375ss power dry drying system granitegrey interior 5-level precision direct wash system self-cleaning filter smart soil sensor stainless steel finish,,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,183_845
0,ge 24 ' gsd2400nww white built-in dishwasher gsd2400wh,ge 24 ' gsd2400nww white built-in dishwasher gsd2400wh 4-level powerscrub wash system hotstart option piranha hard food disposer heated dry option self-cleaning filter system white finish,259.0,frigidaire fdb130rgs 24 ']built-in dishwasher ( white ),,246.54,327_845
1,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,,lg semi-integrated electronic panel with digital status display dishwasher,,,730_779
0,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,670_820
0,speck seethru pink haRd shell cas efor macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin aJnd sleek protectiv case access to all ports 2-piece snap on pink finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,671_820
0,speck seethru red hard shell case for 13? ' macbook mb13redseev2,speck seethru red hard shell case for 13 ' macbook mb13redseev2 translucent hard plastic shell gives great protection full access to all controlD rubber feet for aded support red finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,844_820
0,speck seethru aqua hard shell case for 20 ' imac im20aqusee,speck seethru aqua hard shell case for 20 ' imac im20aqusee adds color and style to imac easy and safe to use totally removable case does not cover the screen or camera fits 20 ' widescreen imac aqua finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,622_820
0,speck seethru black hard shell case for 13 ' macbook mb13blkseev2,speck seethru black hard shell case for 13 ' macbook mb13blkseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support black finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,838_820
0,speck green 13 ' macbook see thru Zard Whell case mb13grnseev2,speck green 13 ' macbook see thru hard shell case mb13grnseve2 hard plastic shell gives great protection full access to all controls ruBbber feet for added support green finish,,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,,795_820
0,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,speck products seethru cPase for apple 15 ' macbok pro mb15-blu-see-v2,plastci lue,34.74,670_822
