label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,id
0,microsof tvisio standar d200\7 version upgrade,mircCosNoft,129.95,adobe cs3 dGsign tandard Zupgrade,,413.99,571_946
0,adobe premiree pro?cs2 upgrade,WdRbe,299.0,adobe cs3 dGsign tandard Zupgrade,,413.99,26_946
0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,1174_946
0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,588_946
0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,adobe cs3 dGsign tandard Zupgrade,,413.99,139_946
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,adobe cs3 dGsign tandard Zupgrade,,413.99,518_946
0,adobed* remawTaFer cs3 upgrade,aFdoYbe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,572_946
0,adobe after effects cs3 upgrade,adobe,299.0,adobe cs3 dGsign tandard Zupgrade,,413.99,592_946
0,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,923_946
0,adobe creative suite Tcs3 QeCQign premium upgrade [ mac ],aHdDobe,599.0,adobe cs3 dGsign tandard Zupgrade,,413.99,516_946
0,adobe acrFoFSaZ standard 8.0,aYoSbe,449.99,adobe cs3 dGsign tandard Zupgrade,,413.99,1251_946
0,adobe flash pro TRcs3 pgade [ Eac ],aZbe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,1262_946
0,adobe creative site cs3 desinY standard Zupgrade,aMHobe,399.0,adobe cs3 dGsign tandard Zupgrade,,413.99,615_946
0,adobe creative suite cs3 web standard upsell,adobe,799.0,adobe cs3 dGsign tandard Zupgrade,,413.99,361_946
0,corel wordperfect oNVice 12 asndard upgrade,corSeKl,149.99,adobe cs3 dGsign tandard Zupgrade,,413.99,506_946
0,adobe creative sit cs3 desQign Hemium upsell,adRe,1599.0,adobe cs3 dGsign tandard Zupgrade,,413.99,1322_946
0,staOe standar grade 6,topicP Wntertanmnet,29.95,adobe cs3 dGsign tandard Zupgrade,,413.99,298_946
0,adobe cs3 design premium macosx dvd,adobe,599.0,adobe cs3 dGsign tandard Zupgrade,,413.99,1130_946
0,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,543_946
0,adobe creative sutTie cs3 wCb Ktandard upgrade [ mac ],XCobe,399.0,adobe cs3 dGsign tandard Zupgrade,,413.99,465_946
0,adobe creatiLve stie cs3 web prSmimu upgrade [ mac ],aoAbe,499.0,adobe cs3 dGsign tandard Zupgrade,,413.99,608_946
0,adobe after effects professionMl 6.5 uprgde from tsandard to professional,adobe,499.99,adobe cs3 dGsign tandard Zupgrade,,413.99,6_946
0,adobe illustratoVr cs 3pgradef rLom freehand [ mac ],adGoNbe,199.0,adobe cs3 dGsign tandard Zupgrade,,413.99,216_946
0,state stanarsdgrade 8,topicN XnFertRainment,29.95,adobe cs3 dGsign tandard Zupgrade,,413.99,328_946
1,microsof tvisio standar d200\7 version upgrade,mircCosNoft,129.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,571_3027
0,microsoft office froFtpaYe 2050 aLademic version windows ),miYcsoft,159.98,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,93_3027
0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,604_3027
0,microsoft pAowerpont 2004 uKBgrade ( mac ),KiYosEoft,109.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,371_3027
0,microsoft visual_tsudio! professional2005 upgrade,microsft soKftware,549.0,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,490_3027
0,microsoft office small business 2007,microsoft software,735.33,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,271_3027
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,518_3027
0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,225_3027
0,microsoft office stuVdent and teacher diion 204 macintosh,micrFsoft,149.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,1177_3027
0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,1145_3027
0,microsoft visio standard 2007,microsoft,259.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,522_3027
0,microsoft fofCce(2004 professional ( mac ),miKrosoft,499.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,606_3027
0,microsoft onenote 2007,microsoft,99.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,541_3027
0,microsof tmppoint 2006 taDdard edCition,mXiroft,299.0,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,146_3027
0,microsoft excel 2004 ( mac ),microsoft,229.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,781_3027
0,microsoft publisher 2007 version upgrade,microsoft,99.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,511_3027
0,corel wordperfect oNVice 12 asndard upgrade,corSeKl,149.99,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,506_3027
0,microsoUto utook 2007,micoTsft,109.95,microsoft office viios tVRandard 2007 upgrade ( pc ),,129.95,547_3027
0,microsof tvisio standar d200\7 version upgrade,mircCosNoft,129.95,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,571_137
0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,135_137
0,microsoft visual_tsudio! professional2005 upgrade,microsft soKftware,549.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,490_137
0,microsoft fofCce(2004 professional ( mac ),miKrosoft,499.99,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,606_137
0,microsoft visual studio testa get 200 cd 1 procsesor license,micrBsooCft$sofwtare,5099.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,393_137
0,microsoft visual studio tKZam edition for osftware architect 200 with msdn premium,miKrosFoft,5479.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,258_137
0,microsoft visual studio team edition# for soRftwarS testers 2005 wm/sdn premium renewal,micrsLoV sotfware,2309.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,761_137
0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,816_137
0,microsof tvisio standar d200\7 version upgrade,mircCosNoft,129.95,microsoft ( r ) money 2004 standard,,29.99,571_3183
0,microsZoft mNpoint2006 with gps,micGrCSZsoft,349.0,microsoft ( r ) money 2004 standard,,29.99,574_3183
0,microsoft pAowerpont 2004 uKBgrade ( mac ),KiYosEoft,109.99,microsoft ( r ) money 2004 standard,,29.99,371_3183
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) money 2004 standard,,29.99,518_3183
0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) money 2004 standard,,29.99,225_3183
0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft ( r ) money 2004 standard,,29.99,1145_3183
0,microsoft fofCce(2004 professional ( mac ),miKrosoft,499.99,microsoft ( r ) money 2004 standard,,29.99,606_3183
0,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft ( r ) money 2004 standard,,29.99,858_3183
0,microsoft onenote 2007,microsoft,99.95,microsoft ( r ) money 2004 standard,,29.99,541_3183
0,microsoft data analyzer 2002,microsoft,179.0,microsoft ( r ) money 2004 standard,,29.99,497_3183
0,microsoEfBt wErks suite 2006,micTXsoft,99.0,microsoft ( r ) money 2004 standard,,29.99,614_3183
0,microsoUto utook 2007,micoTsft,109.95,microsoft ( r ) money 2004 standard,,29.99,547_3183
0,microsoft office excel 2007,microsoft,229.95,microsoft ( r ) money 2004 standard,,29.99,578_3183
0,microsoftoZr d2004 ( mac ),miQrsooFft,229.99,microsoft ( r ) money 2004 standard,,29.99,605_3183
0,microsoft sql serve rsLandard edition0205 64 bit cd/dvd 5 client,microosft,1849.0,microsoft ( r ) money 2004 standard,,29.99,12_3183
